Niche,Warehouse_Source,Country,Tender_Count,Unique_Buyers,Median_Lean_Fit
Transcription / minutes,Germany,Germany,12836,158,90.0
Document digitization / scanning,Germany,Germany,4654,1022,92.0
Brochure / flyer / poster printing,France,France,3289,2047,68.0
Website design / redesign,Canada federal,Canada,2204,160,85.0
Website design / redesign,United Kingdom,United Kingdom,1587,732,85.0
Brochure / flyer / poster printing,Germany,Germany,1526,357,66.0
Website design / redesign,Germany,Germany,1524,394,88.0
Signage / wayfinding / vinyl,France,France,1333,953,15.0
Small IT equipment supply,TED,POL,1290,5,20.0
Signage / wayfinding / vinyl,Belgium,BE,817,421,
Transcription / minutes,Quebec,Canada - Quebec,772,123,90.0
Website design / redesign,TenderNed,Netherlands,736,217,88.0
Brochure / flyer / poster printing,Quebec,Canada - Quebec,601,211,82.0
Website design / redesign,France,France,574,476,88.0
Signage / wayfinding / vinyl,Quebec,Canada - Quebec,572,240,15.0
Transcription / minutes,TenderNed,Netherlands,562,145,90.0
Document digitization / scanning,TenderNed,Netherlands,518,159,92.0
Brochure / flyer / poster printing,TED,ROU,514,2,66.0
Transcription / minutes,United Kingdom,United Kingdom,503,328,88.0
Document digitization / scanning,Quebec,Canada - Quebec,493,216,92.0
Website design / redesign,Belgium,BE,484,280,
Brochure / flyer / poster printing,Belgium,BE,471,269,
Brochure / flyer / poster printing,TenderNed,Netherlands,443,250,66.0
Copywriting / editorial content,Belgium,BE,429,216,
Transcription / minutes,TED,ESP,414,2,90.0
Small IT equipment supply,TED,ROU,408,2,74.0
Transcription / minutes,France,France,396,299,90.0
Document digitization / scanning,France,France,374,291,92.0
Copywriting / editorial content,France,France,362,302,70.0
Document digitization / scanning,TED,NOR,340,3,92.0
Workflow automation / RPA,Quebec,Canada - Quebec,308,22,15.0
Brochure / flyer / poster printing,TED,NOR,298,3,66.0
Website design / redesign,Quebec,Canada - Quebec,291,184,88.0
Small IT equipment supply,TED,CZE,285,4,20.0
Online forms / lightweight portals,TED,POL,279,6,60.0
Online forms / lightweight portals,TED,ESP,278,3,60.0
Small IT equipment supply,TED,PL,259,150,20.0
Copywriting / editorial content,Quebec,Canada - Quebec,247,129,15.0
Small IT equipment supply,Germany,Germany,241,43,15.0
Transcription / minutes,Canada federal,Canada,237,105,88.0
Document digitization / scanning,United Kingdom,United Kingdom,220,156,90.0
Transcription / minutes,TED,ROU,218,4,90.0
Small IT equipment supply,Belgium,BE,214,169,
Graphic design / layout,France,France,214,162,82.0
Small IT equipment supply,United Kingdom,United Kingdom,205,142,15.0
Translation / localization,Belgium,BE,204,153,
Web hosting / domain / SSL,Germany,Germany,196,81,60.0
Online forms / lightweight portals,TED,NOR,183,3,60.0
Document digitization / scanning,TED,SWE,182,2,92.0
Web hosting / domain / SSL,TenderNed,Netherlands,181,106,74.0
Brochure / flyer / poster printing,Ireland,Ireland,179,105,15.0
Document digitization / scanning,TED,ROU,179,1,92.0
Transcription / minutes,TED,NOR,177,3,90.0
Website design / redesign,TED,AUT,173,48,88.0
Website design / redesign,TED,NOR,172,2,88.0
Website design / redesign,TED,CZ,164,4,88.0
Digital marketing / SEO / campaigns,France,France,163,99,15.0
Web hosting / domain / SSL,United Kingdom,United Kingdom,159,127,15.0
Brochure / flyer / poster printing,United Kingdom,United Kingdom,158,121,80.0
Brand identity / visual identity,Belgium,BE,157,110,
Online forms / lightweight portals,United Kingdom,United Kingdom,153,121,15.0
Small IT equipment supply,France,France,146,129,15.0
Small IT equipment supply,TenderNed,Netherlands,145,80,70.0
Signage / wayfinding / vinyl,United Kingdom,United Kingdom,143,115,15.0
E-learning / training content,Germany,Germany,139,20,60.0
Document digitization / scanning,TED,DNK,138,2,92.0
Interpretation services,France,France,138,102,15.0
Document digitization / scanning,TED,AUT,134,67,92.0
Graphic design / layout,Belgium,BE,133,110,
Small IT equipment supply,TED,HUN,131,5,20.0
Transcription / minutes,TED,POL,130,3,90.0
Website design / redesign,Ireland,Ireland,128,94,85.0
Document digitization / scanning,TED,FIN,126,3,92.0
Small IT equipment supply,TED,ITA,121,3,20.0
Small IT equipment supply,Canada federal,Canada,118,42,15.0
Small IT equipment supply,TED,NOR,118,3,60.0
Brochure / flyer / poster printing,TED,RO,116,65,66.0
Web hosting / domain / SSL,Belgium,BE,116,93,
Small IT equipment supply,TED,CZ,115,67,20.0
Small IT equipment supply,Ireland,Ireland,113,43,15.0
Online forms / lightweight portals,Germany,Germany,110,47,60.0
Promotional merchandise / branded items,France,France,101,83,15.0
Online forms / lightweight portals,TED,ISL,100,2,20.0
Document digitization / scanning,TED,CHE,94,1,92.0
Small IT equipment supply,Quebec,Canada - Quebec,91,49,74.0
E-learning / training content,United Kingdom,United Kingdom,91,74,15.0
Translation / localization,France,France,86,76,15.0
Brand identity / visual identity,TenderNed,Netherlands,86,60,82.0
Online forms / lightweight portals,TED,PL,85,15,20.0
Graphic design / layout,TenderNed,Netherlands,84,64,82.0
Website maintenance / content updates,France,France,83,71,15.0
Small IT equipment supply,TED,RO,82,65,74.0
Digital marketing / SEO / campaigns,TED,ESP,81,3,20.0
Online forms / lightweight portals,TED,ROU,80,2,74.0
Brochure / flyer / poster printing,TED,DNK,76,2,66.0
Brand identity / visual identity,Germany,Germany,73,23,15.0
Simple API / software integration,TED,CZE,72,2,20.0
Social media content production,France,France,68,57,82.0
Online forms / lightweight portals,TenderNed,Netherlands,67,42,74.0
Labels / stickers / QR materials,Belgium,BE,67,56,
Document digitization / scanning,Canada federal,Canada,67,35,90.0
Online forms / lightweight portals,TED,PRT,65,1,60.0
Signage / wayfinding / vinyl,TED,CHE,64,1,20.0
Small IT equipment supply,TED,ESP,63,3,20.0
Signage / wayfinding / vinyl,Ireland,Ireland,61,38,15.0
Brochure / flyer / poster printing,TED,MLT,55,2,66.0
Brochure / flyer / poster printing,TED,SWE,55,2,66.0
Graphic design / layout,Quebec,Canada - Quebec,54,34,82.0
Social media content production,Belgium,BE,54,43,
